key,company,title,bucket,location,comp,posted,age\_days,score,new,url  
ashby:clipboard:5981222f-7c67-410f-a898-f9eb525c2cc3,Clipboard Health,Sales Operations Analyst ,RevOps,Remote (North America); Remote,$75K – $110K,2026-08-20,15,73,NEW,https://jobs.ashbyhq.com/clipboard/5981222f-7c67-410f-a898-f9eb525c2cc3  
ashby:hinge-health:49512b81-8c12-436d-979e-6c502e6a2c5d,Hinge Health,BDR Team Lead,SDR/BDR,Remote US; Remote,"$54,720 – $99,360 • Offers Equity • Multiple Ranges",2026-07-24,42,73,NEW,https://jobs.ashbyhq.com/hinge-health/49512b81-8c12-436d-979e-6c502e6a2c5d  
lever:lyrahealth:244f64b1-55f7-4f39-a457-c52e0abaf4a0,Lyra Health,"Health Systems Business Development Manager (Philadelphia, PA)",SDR/BDR,"Philadelphia, Pennsylvania remote",$81-111K,2026-08-06,29,73,NEW,https://jobs.lever.co/lyrahealth/244f64b1-55f7-4f39-a457-c52e0abaf4a0  
ashby:virtahealth:18421d51-4be3-429b-a7d3-1fcfc3f30309,Virta Health,AI Operations Engineer,AI Ops,Remote; Remote,$136K – $176K • Offers Equity,2026-07-31,35,73,NEW,https://jobs.ashbyhq.com/virtahealth/18421d51-4be3-429b-a7d3-1fcfc3f30309  
ashby:clipboard:2ca7fa94-6b57-4358-9105-857b911c15f7,Clipboard Health,Revenue Strategy & Growth Associate,Growth,U.S. (Remote); Remote,$80K – $120K,2026-08-13,22,71,NEW,https://jobs.ashbyhq.com/clipboard/2ca7fa94-6b57-4358-9105-857b911c15f7  
ashby:hinge-health:cd67cd2f-3a94-4eaf-9ad8-d067fdd18bf0,Hinge Health,Growth Marketing Manager,Growth,San Francisco-HQ; Remote,$150K – $210K • Offers Equity,2026-08-18,17,71,NEW,https://jobs.ashbyhq.com/hinge-health/cd67cd2f-3a94-4eaf-9ad8-d067fdd18bf0  
ashby:hinge-health:a7b88af8-ea6a-4a54-b5cf-4bd35205ab99,Hinge Health,"Quality Assurance Associate Manager, Growth Marketing Operations",Growth,San Francisco-HQ; Remote,$121K – $167K • Offers Equity,2026-07-21,45,71,NEW,https://jobs.ashbyhq.com/hinge-health/a7b88af8-ea6a-4a54-b5cf-4bd35205ab99  
ashby:hinge-health:6c5c5c01-5825-4c10-8046-2887d8443803,Hinge Health,Client Success Manager- Emerging Accounts,CS,Remote US; Remote,"$76,608 – $139,104 • Offers Equity • Multiple Ranges",2026-08-18,17,71,NEW,https://jobs.ashbyhq.com/hinge-health/6c5c5c01-5825-4c10-8046-2887d8443803  
ashby:hinge-health:a2583315-2f5d-4f69-a96a-87c362d54c1d,Hinge Health,"Project Manager, Growth Operations",Growth,San Francisco-HQ; Remote,$121K – $165K • Offers Equity,2026-08-25,10,71,NEW,https://jobs.ashbyhq.com/hinge-health/a2583315-2f5d-4f69-a96a-87c362d54c1d  
lever:pointclickcare:e6fd28a0-e062-499d-8004-ea3280e62f4e,PointClickCare,(US) Software Implementation Consultant - Clinical,Implementation,"Remote, USA remote",$80-89K,2026-07-09,57,71,NEW,https://jobs.lever.co/pointclickcare/e6fd28a0-e062-499d-8004-ea3280e62f4e  
lever:pointclickcare:bb844dc3-ea25-454d-8df4-7c607963a566,PointClickCare,Software Implementation Consultant - (Financial),Implementation,"Remote, USA remote",$75-90K,2026-08-12,23,71,NEW,https://jobs.lever.co/pointclickcare/bb844dc3-ea25-454d-8df4-7c607963a566  
ashby:hinge-health:8177e5b7-30f6-4733-b09f-3183c8c4fdf3,Hinge Health,Health Services Manager (Enablement) ,Enablement,Remote US; Remote,"$70,680 – $128,340 • Offers Equity • Offers Commission • Multiple Ranges",2026-08-11,24,69,NEW,https://jobs.ashbyhq.com/hinge-health/8177e5b7-30f6-4733-b09f-3183c8c4fdf3  
gh:oscar:8143810,Oscar Health,"Associate, Lucie Training & Sales Enablement",Enablement,"Dallas, Texas, United States",,2026-08-21,14,69,NEW,http://www.hioscar.com/careers/8143810?gh\_jid=8143810  
gh:oscar:8076314,Oscar Health,"Associate, Sales Enablement",Enablement,"Dallas, Texas, United States",,2026-07-21,45,69,NEW,http://www.hioscar.com/careers/8076314?gh\_jid=8076314  
